"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","1.80024234031504","11.3003063047732","12.1002063451122","14.7999912516677","16.2994170698331","17.6002094743503","18.9002071637882","15.7270434965329","14.6995368050798","14.6470009449678","15.0205308345377","14.7971787957078","14.7971787957078","","","",
"Africa Eastern and Southern","AFE","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0.188394312286001","0.16936494812365","0.162413563993405","0.151614809199452","0.138168898492608","0.143141464945047","0.142261092068705","0.143073401270123","0.139862569822696","0.136152033720049","0.127848604138828","0.135105174181748","0.128844895287958","0.119386651080076","0.134240094618569","0.352793184287266","0.342878169532348","0.31061195349878","0.295975455693918","-1.27735424237636","-1.28680395163325","-1.10783336851044","-1.15343474597931","-1.27248290129771","-1.09183986348669","-1.41654433445001","-1.53229703608247","-1.37877608034231","-1.51621946335603","0.466431605290502","0.787750486302477","0.154401462617912","0.353028512175145","0.576937498550841","0.680765547434465","0.601989083202435","0.9193143427771","0.637084947316999","0.986166306686343","0.699483278827257","1.04225856528709","0.684599736929577","1.09242715496842","1.573631022603","2.56792678260187","2.47643180207433","3.78840765166538","3.945917441939","5.17379632942775","4.58579206497238","4.93931845790503","","","",
"Afghanistan","AFG","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0.0183183733284484","0.0228905287712146","2.97322118093966","2.72534959751642","2.77200987806233","2.83229014034404","3.19005850365957","3.16865225907967","3.47404347045087","3.82453122312059","5.43252738169043","6.57829189006628","","","",
"Africa Western and Central","AFW","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0.511756569847856","0.46409379579873","0.410278557546966","0.416","0.362756952841596","0.329225054870842","0.307031010132023","0.320872773945131","0.256278831368529","0.233781414377557","0.216415084131364","0.218545113955667","0.244555723768487","0.253134040501446","0.214756864549778","0.194453446918839","0.18859649122807","0.181987472490266","0.169980630114243","0.133719634499666","0.128543883453546","0.0994649471806832","0.00344447506200055","-0.0834668803418803","-0.147554129911788","-0.0825107722397091","-0.0412650691189908","-0.0927495442479291","-0.219106047326906","2.72455927618692","1.73086733150791","-3.13909512984365","1.91677695389692","0.0827681106380097","11.0785717653395","8.38858042359416","3.51568185756368","3.79157350966784","6.02152186440385","1.80730829691933","-0.524451218252783","0.0239998814961341","1.42295899252224","0.707461682156242","-0.0939973781261485","-0.365302890614928","0.257871252744449","0.427208481947933","0.710267684050053","1.19924766060327","1.26862925948468","","","",
"Angola","AGO","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","-0.81038062283737","-0.402319902319902","-0.713881019830028","-0.515288220551378","-1.05483727151137","-0.822904816078878","-0.125041904123366","12.1052469135802","0.867193285608492","1.35531135531136","-0.31950816663608","0.635864754823863","-21.1304798962387","-13.2817489560305","0.898958004420587","-2.02336352408399","0.72992299229923","12.9602383834621","8.7914499847048","13.4364618771263","9.71967998060489","19.0107407164844","","","",
"Albania","ALB","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0.00375335120643432","0.007223113964687","0.00540865384615385","0.00481626828398145","0.00496049972441668","0.00488776249094859","0.00944055944055944","0.00711087700816434","0.00788158400615148","0.00713530655391121","0.0183727034120735","0.0194708994708995","0.0148009771518896","0.0345046570702794","0.0242578456318914","0.013621177075302","0.0481661511268228","0.017303869987139","0.442758355743373","0.624317711274233","0.465409506806516","","","",
"Andorra","AND","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1.06382978723404","1.17647058823529","5.40540540540541","25","19.9491740787802","23.4567901234568","11.2688553682343","13.4868421052632","13.2938766218985","11.2486920125567","10.6999448862294","14.0894504612916","14.4662921348315","16.3889928865593","14.9964412811388","13.5352061291499","14.2270018494417","17.4766624963911","","","",
"Arab World","ARB","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000401094184936507","0.000401859807187665","0.00035974069890423","0.00033034372264341","0.000312456060866441","0.0182441910196708","0","0.0449694448682636","0.000247382079147422","0.00632579236406575","0.140009097004263","0.177469811733985","0.208420693139136","0.148390681959469","0.265157973252136","0.0231890272148392","0.0285419911139681","-0.32041117757554","0.342996305967985","0.487612421710551","0.26743203105601","0.479639575430949","0.382637987450401","0.348591096765427","0.442463336470625","0.569699096353948","0.806996042308233","0.895236921525003","1.12499849976128","1.49032204289305","2.19910390119397","2.48058649134782","","","",
"United Arab Emirates","ARE","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0074797544866858","0.0196063821860797","0.0225949948051686","0.0223400048954077","0.0783671985090231","0.263563430434596","0.240204736895818","0.248154120342867","0.557695737471018","0.885151528519123","2.64586794169905","3.78319860170417","4.20134583903604","","","",
"Argentina","ARG","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.19747520288548","-7.89395514629437","-8.95628775593849","-10.0597931480284","-10.8251820702685","-10.1144668879594","-7.82118901565098","-9.32321490169024","-8.51677608077322","-6.35594794388242","-7.47880756006023","-9.75152516804579","-9.79444477276757","-8.06667318302272","-6.53791920541689","-6.77995442899148","-7.31189838158034","-5.62458936985336","-4.89543743387437","-5.45778435282963","-4.99743681307781","-4.40720121075471","-3.02127034059004","-3.51280231165795","-4.22381942039026","-3.80281477101625","-2.9382760494498","-3.09416110516053","-2.69236376021798","1.5032854430153","6.17318136617456","9.06192102050542","","","",
"Armenia","ARM","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0.00167841557569654","-0.00522193211488251","-0.00905961224859576","-0.00181785129976368","0.258706467661692","-0.00158302991926547","0.00504965494024575","0.0406917599186165","0.0329289428076256","0.0828777993299242","0.109382221537513","0.0713324360699865","-0.0858636137381782","0.0544747081712062","0.0593624983868886","0.0423131170662906","0.0323991797676008","0.0321957501609788","0.275959440379926","0.36202630550853","0.750191375350855","2.10305876380251","","","",
"American Samoa","ASM","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0.173756354977798","0.900785791860985","1.54840360867618","1.5020366598778","1.51931173347977","1.83115895395776","4.58748221906117","4.7562283943259","4.27379925222893","3.87100430741329","3.8725406815218","","","",
"Antigua and Barbuda","ATG","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0.0488460129441934","0.0485348540920949","0.14265335235378","0.142221684267861","0.19054532256601","0.187149095446039","1.55200370627751","1.55959364715982","1.84609239021885","2.82657253950307","3.68746637977407","4.9484175555167","5.65579264886605","","","",
"Australia","AUS","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0116114798831111","0.31055108469691","0.157322385533862","0.163153070577452","0.234678705146809","0.226381533734891","0.355296793882814","0.35804284488272","0.365974131003383","0.409339810870301","0.58513775782023","0.711865915818995","0.87763397859858","1.06208277098939","1.1264085031125","2.09669801005904","2.45501009320105","2.74472871436973","3.21394945337779","2.74014555008422","3.25297533058129","3.77393428413837","4.9172880194157","5.84994185347075","7.18283619787352","7.9943519678619","8.62556175286382","9.36752719760948","10.9624941091728","13.6563342726419","16.8875246061136","20.937361139354","","","",
"Austria","AUT","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.254503519306478","-0.186469319969699","0.107442859933581","0.558936304152916","0.31431152601069","1.40506891951979","0.488338192419825","1.22566309255079","1.36313398010561","1.01896823313206","2.609220170756","2.84616246857436","2.6683626938031","3.48703759098614","4.69226212744731","5.67157948288245","7.7477357732373","9.40913281298015","9.27698912506918","9.09275261626645","9.32875941963784","10.1365535684439","10.304023249728","12.3982240037451","14.0280418105688","15.9661097413437","16.2666012765708","17.892616790982","18.094276928458","18.6002370881267","18.5045480856694","19.7907315280683","","","",
"Azerbaijan","AZE","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0010527761248684","0.00152474241094118","0.013938944244223","0.00636023516835917","0","0.000870019140421089","0.588336045217093","0.722864768683274","0.775599481529488","0.933031420327028","0.945723684210526","1.12648143010028","1.32824486038662","1.33209489531329","1.21956467171083","","","",
"Burundi","BDI","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.00676078743289","3.72382370980461","3.43759923785329","4.04040404040404","4.54545454545455","4.29313099041534","2.57735288418061","2.72018820761653","2.22120448820701","2.78298350824588","3.078339801355","3.65238490517847","4.12209757370206","3.86001029336078","2.99234516353514","3.3399486906433","4.35690693607927","4.2463317029791","2.85733205310731","2.3884081074926","2.2209352101327","1.73876633536814","","","",
